,winner,winner_score
222,Peshawar Panthers,150.75
223,Peshawar Region,165.0
224,Peshawar Zalmi,147.67
225,Police Sports Club,153.0
226,Port Qasim Authority,164.8
227,Prime Bank Cricket Club,170.4
228,Pune Warriors,151.08
229,Punjab,135.87
230,Punjab (Pakistan),166.0
231,Queensland,161.45
232,Quetta Bears,132.5
233,Quetta Gladiators,143.57
234,Quetta Region,147.0
235,Ragama Cricket Club,145.15
236,Railways,140.11
237,Rajasthan,157.1
238,Rajasthan Royals,158.83
239,Rajshahi Division,144.0
240,Rajshahi Kings,143.88
241,Rangpur Division,173.0
242,Rangpur Riders,136.67
243,Rawalpindi,159.5
244,Rawalpindi Rams,160.4
245,Rawalpindi Region,167.0
246,Rising Pune Supergiants,140.8
247,Royal Challengers Bangalore,163.87
248,Ruhuna,147.06
249,Ruhuna Reds,162.0
250,Ruhuna Royals,134.5
251,Saracens Sports Club,142.92
252,Saurashtra,143.79
253,Schools Invitation XI,152.0
254,Scotland,149.71
255,Sebastianites Cricket and Athletic Club,169.5
256,Services,123.19
257,Sialkot Region,159.75
258,Sialkot Stallions,153.16
259,Singha Sports Club,157.0
260,Sinhalese Sports Club,156.12
261,Somerset,166.25
262,South Africa,152.28
263,South Africa Emerging Players,184.5
264,South Africa XI,169.5
265,South Australia,167.58
266,South Island,139.0
267,South Western Districts,131.83
268,Southern Express,159.5
269,Southern Rocks,176.75
270,Southerns,141.0
271,Sri Lanka,156.04
272,Sri Lanka A,140.38
273,Sri Lanka Air Force Sports Club,141.75
274,Sri Lanka Army,151.86
275,Sri Lanka Ports Authority Cricket Club,133.4
276,St Kitts and Nevis Patriots,172.33
277,St Lucia,120.0
278,St Lucia Zouks,156.86
279,St Vincent,96.0
280,St Vincent and the Grenadines,168.0
281,Stanford Superstars,140.0
282,State Bank of Pakistan,129.33
283,Sui Northern Gas Pipelines Limited,90.2
284,Sunrisers Hyderabad,154.46
285,Surrey,160.83
286,Sussex,154.22
287,Sydney Sixers,152.5
288,Sydney Thunder,163.82
289,Sylhet Division,151.25
290,Sylhet Royals,159.91
291,Sylhet Super Stars,130.67
292,Tamil Nadu,148.67
293,Tamil Union Cricket and Athletic Club,159.88
294,Tasmania,171.25
295,Titans,153.28
296,Trinbago Knight Riders,160.83
297,Trinidad & Tobago,142.98
298,Trinidad & Tobago Red Steel,147.24
299,Tripura,119.4
300,UCB-BCB Eleven,169.5
301,Udarata Rulers,159.0
